[2026-02-15 16:13:22.458][GPIO 3] [2381764796] LEVEL: 0 | EDGE: 0
[2026-02-15 16:13:32.392][GPIO 3] [2391650328] LEVEL: 1 | EDGE: 1
[2026-02-15 16:13:42.251][GPIO 3] [2401536028] LEVEL: 0 | EDGE: 0
[2026-02-15 16:13:52.043][GPIO 3] [2411421830] LEVEL: 1 | EDGE: 1
[2026-02-15 16:14:01.986][GPIO 3] [2421307018] LEVEL: 0 | EDGE: 0
[2026-02-15 16:14:11.809][GPIO 3] [2431192990] LEVEL: 1 | EDGE: 1
[2026-02-15 16:14:21.749][GPIO 3] [2441079182] LEVEL: 0 | EDGE: 0
[2026-02-15 16:14:31.682][GPIO 3] [2450965118] LEVEL: 1 | EDGE: 1
[2026-02-15 16:14:41.615][GPIO 3] [2460850148] LEVEL: 0 | EDGE: 0
[2026-02-15 16:14:51.445][GPIO 3] [2470735373] LEVEL: 1 | EDGE: 1
[2026-02-15 16:15:01.272][GPIO 3] [2480620101] LEVEL: 0 | EDGE: 0
[2026-02-15 16:15:11.311][GPIO 3] [2490504847] LEVEL: 1 | EDGE: 1
[2026-02-15 16:15:21.050][GPIO 3] [2500389483] LEVEL: 0 | EDGE: 0
[2026-02-15 16:15:31.182][GPIO 3] [2510274078] LEVEL: 1 | EDGE: 1
[2026-02-15 16:15:40.905][GPIO 3] [2520158785] LEVEL: 0 | EDGE: 0
[2026-02-15 16:15:51.009][GPIO 3] [2530044411] LEVEL: 1 | EDGE: 1
[2026-02-15 16:16:00.558][GPIO 3] [2539929780] LEVEL: 0 | EDGE: 0
[2026-02-15 16:16:10.515][GPIO 3] [2549814802] LEVEL: 1 | EDGE: 1
[2026-02-15 16:16:20.326][GPIO 3] [2559699166] LEVEL: 0 | EDGE: 0
[2026-02-15 16:16:30.262][GPIO 3] [2569583699] LEVEL: 1 | EDGE: 1
[2026-02-15 16:16:40.196][GPIO 3] [2579468986] LEVEL: 0 | EDGE: 0
[2026-02-15 16:16:50.027][GPIO 3] [2589354401] LEVEL: 1 | EDGE: 1
[2026-02-15 16:16:59.850][GPIO 3] [2599239177] LEVEL: 0 | EDGE: 0
[2026-02-15 16:17:09.892][GPIO 3] [2609124691] LEVEL: 1 | EDGE: 1
[2026-02-15 16:17:19.614][GPIO 3] [2619009499] LEVEL: 0 | EDGE: 0
[2026-02-15 16:17:29.552][GPIO 3] [2628893510] LEVEL: 1 | EDGE: 1
[2026-02-15 16:17:39.378][GPIO 3] [2638777854] LEVEL: 0 | EDGE: 0
[2026-02-15 16:17:49.311][GPIO 3] [2648662957] LEVEL: 1 | EDGE: 1
[2026-02-15 16:17:59.249][GPIO 3] [2658548196] LEVEL: 0 | EDGE: 0
[2026-02-15 16:18:09.076][GPIO 3] [2668433864] LEVEL: 1 | EDGE: 1
[2026-02-15 16:18:19.100][GPIO 3] [2678319936] LEVEL: 0 | EDGE: 0
[2026-02-15 16:18:28.945][GPIO 3] [2688205376] LEVEL: 1 | EDGE: 1
[2026-02-15 16:18:38.776][GPIO 3] [2698090675] LEVEL: 0 | EDGE: 0
[2026-02-15 16:18:48.599][GPIO 3] [2707975957] LEVEL: 1 | EDGE: 1
[2026-02-15 16:18:58.539][GPIO 3] [2717861041] LEVEL: 0 | EDGE: 0
[2026-02-15 16:19:08.471][GPIO 3] [2727746410] LEVEL: 1 | EDGE: 1
